2026-04-01 19:37:42 | TX | TEST_MESSAGE | 0 bytes | OK
2026-04-04 22:43:17 | RX | LOGIN_REQUEST | 8 bytes | OK
2026-04-04 22:43:17 | TX | LOGIN_RESPONSE | 13 bytes | OK
2026-04-05 00:14:42 | RX | LOGIN_REQUEST | 8 bytes | OK
2026-04-05 00:14:42 | TX | LOGIN_RESPONSE | 13 bytes | OK
2026-04-05 00:14:50 | RX | DECLARE_ALERT | 13 bytes | OK
2026-04-05 00:14:50 | TX | STATE_UPDATE | 18 bytes | OK
2026-04-05 00:15:13 | RX | ESCALATE_ALERT | 14 bytes | OK
2026-04-05 00:15:13 | TX | STATE_UPDATE | 15 bytes | OK
2026-04-05 00:15:25 | RX | RESOLVE_ALERT | 13 bytes | OK
2026-04-05 00:15:25 | TX | STATE_UPDATE | 14 bytes | OK
2026-04-05 00:15:37 | RX | RESET_SYSTEM | 12 bytes | OK
2026-04-05 00:15:37 | TX | STATE_UPDATE | 12 bytes | OK
2026-04-05 00:15:44 | RX | ESCALATE_ALERT | 14 bytes | OK
2026-04-05 00:15:44 | TX | ERROR_RESPONSE | 31 bytes | INVALID_STATE
