2026-04-04 22:43:17 | TX | LOGIN_REQUEST | 8 bytes | OK
2026-04-04 22:43:17 | RX | LOGIN_RESPONSE | 13 bytes | OK
2026-04-05 00:14:42 | TX | LOGIN_REQUEST | 8 bytes | OK
2026-04-05 00:14:42 | RX | LOGIN_RESPONSE | 13 bytes | OK
2026-04-05 00:14:50 | TX | DECLARE_ALERT | 13 bytes | OK
2026-04-05 00:14:50 | RX | COMMAND_RESPONSE | 18 bytes | OK
2026-04-05 00:15:13 | TX | ESCALATE_ALERT | 14 bytes | OK
2026-04-05 00:15:13 | RX | COMMAND_RESPONSE | 15 bytes | OK
2026-04-05 00:15:25 | TX | RESOLVE_ALERT | 13 bytes | OK
2026-04-05 00:15:25 | RX | COMMAND_RESPONSE | 14 bytes | OK
2026-04-05 00:15:37 | TX | RESET_SYSTEM | 12 bytes | OK
2026-04-05 00:15:37 | RX | COMMAND_RESPONSE | 12 bytes | OK
2026-04-05 00:15:44 | TX | ESCALATE_ALERT | 14 bytes | OK
2026-04-05 00:15:44 | RX | COMMAND_RESPONSE | 31 bytes | OK
2026-04-06 19:45:19 | TX | LOGIN_REQUEST | 8 bytes | OK
2026-04-06 19:45:19 | RX | LOGIN_RESPONSE | 13 bytes | OK
2026-04-06 19:45:26 | TX | REQUEST_SITUATION_REPORT | 24 bytes | OK
2026-04-06 19:45:26 | RX | COMMAND_RESPONSE | 28 bytes | OK
2026-04-06 19:49:07 | TX | LOGIN_REQUEST | 8 bytes | OK
2026-04-06 19:49:07 | RX | LOGIN_RESPONSE | 13 bytes | OK
2026-04-06 19:49:25 | TX | REQUEST_SITUATION_REPORT | 24 bytes | OK
2026-04-06 19:49:25 | RX | COMMAND_RESPONSE | 28 bytes | OK
2026-04-06 19:59:40 | TX | LOGIN_REQUEST | 8 bytes | OK
2026-04-06 19:59:40 | RX | LOGIN_RESPONSE | 13 bytes | OK
2026-04-06 19:59:45 | TX | REQUEST_SITUATION_REPORT | 24 bytes | OK
2026-04-06 19:59:45 | RX | COMMAND_RESPONSE | 28 bytes | OK
2026-04-06 21:20:49 | TX | LOGIN_REQUEST | 8 bytes | OK
2026-04-06 21:20:49 | RX | LOGIN_RESPONSE | 13 bytes | OK
2026-04-06 21:20:51 | TX | REQUEST_SITUATION_REPORT | 24 bytes | OK
2026-04-06 21:20:51 | RX | COMMAND_RESPONSE | 28 bytes | OK
2026-04-06 21:43:25 | TX | LOGIN_REQUEST | 8 bytes | OK
2026-04-06 21:43:25 | RX | LOGIN_RESPONSE | 13 bytes | OK
2026-04-06 21:43:30 | TX | REQUEST_SITUATION_REPORT | 24 bytes | OK
2026-04-06 21:43:30 | RX | COMMAND_RESPONSE | 28 bytes | OK
2026-04-07 19:54:35 | TX | LOGIN_REQUEST | 8 bytes | OK
2026-04-07 19:54:35 | RX | LOGIN_RESPONSE | 13 bytes | OK
2026-04-07 19:54:47 | TX | REQUEST_SITUATION_REPORT | 24 bytes | OK
2026-04-07 19:54:47 | RX | COMMAND_RESPONSE | 28 bytes | OK
2026-04-07 20:17:21 | TX | LOGIN_REQUEST | 8 bytes | OK
2026-04-07 20:17:21 | RX | LOGIN_RESPONSE | 13 bytes | OK
2026-04-07 20:17:31 | TX | REQUEST_SITUATION_REPORT | 24 bytes | OK
2026-04-07 20:17:31 | RX | COMMAND_RESPONSE | 28 bytes | OK
2026-04-07 20:38:45 | TX | LOGIN_REQUEST | 8 bytes | OK
2026-04-07 20:38:45 | RX | LOGIN_RESPONSE | 13 bytes | OK
2026-04-07 20:38:52 | TX | REQUEST_SITUATION_REPORT | 24 bytes | OK
2026-04-07 20:38:52 | RX | COMMAND_RESPONSE | 28 bytes | OK
2026-04-07 20:47:09 | TX | LOGIN_REQUEST | 8 bytes | OK
2026-04-07 20:47:09 | RX | LOGIN_RESPONSE | 13 bytes | OK
2026-04-07 20:47:21 | TX | REQUEST_SITUATION_REPORT | 24 bytes | OK
2026-04-07 20:47:21 | RX | COMMAND_RESPONSE | 28 bytes | OK
2026-04-07 20:51:25 | TX | LOGIN_REQUEST | 8 bytes | OK
2026-04-07 20:51:25 | RX | LOGIN_RESPONSE | 13 bytes | OK
2026-04-07 20:51:28 | TX | REQUEST_SITUATION_REPORT | 24 bytes | OK
2026-04-07 20:51:28 | RX | COMMAND_RESPONSE | 28 bytes | OK
2026-04-07 20:58:32 | TX | LOGIN_REQUEST | 8 bytes | OK
2026-04-07 20:58:32 | RX | LOGIN_RESPONSE | 13 bytes | OK
2026-04-07 20:58:34 | TX | REQUEST_SITUATION_REPORT | 24 bytes | OK
2026-04-07 20:58:34 | RX | COMMAND_RESPONSE | 2048 bytes | FAIL
2026-04-07 21:11:45 | TX | LOGIN_REQUEST | 8 bytes | OK
2026-04-07 21:11:45 | RX | LOGIN_RESPONSE | 13 bytes | OK
2026-04-07 21:11:47 | TX | REQUEST_SITUATION_REPORT | 24 bytes | OK
2026-04-07 21:11:47 | RX | REPORT_DATA | 2037231 bytes | OK
